Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232936-2998 | Type=notification
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232936-8144 | Type=image_resize
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232936-3688 | Type=image_resize
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232936-1239 | Type=email
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232936-2091 | Type=notification
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232936-3194 | Type=notification
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232936-1027 | Type=image_resize
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232936-6052 | Type=notification
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232936-0298 | Type=image_resize
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232936-5054 | Type=email
Producer: 2025/06/25 23:29:36 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232936-3023 | Type=email
